date,comment_count
20040212,4
20040213,3
20040214,9
20040215,11
20040216,6
20040217,14
20040218,9
20040219,14
20040220,11
20040221,12
20040222,7
20040223,8
20040224,15
20040225,17
20040226,10
20040227,13
20040228,12
20040229,16
20040301,5
20040302,7
20040303,7
20040304,8
20040305,5
20040306,9
20040307,8
20040308,7
20040309,13
20040310,15
20040311,6
20040312,15
20040313,11
20040314,21
20040315,13
20040316,8
20040317,11
20040318,12
20040319,9
20040320,4
20040321,8
20040322,6
20040323,7
20040324,4
20040325,8
20040326,7
20040327,14
20040328,7
20040329,5
20040330,7
20040331,8
20040401,6
20040402,14
20040403,11
20040404,11
20040405,8
20040406,19
20040407,12
20040408,11
20040409,10
20040410,11
20040411,7
20040412,14
20040413,11
20040414,9
20040415,14
20040416,10
20040417,16
20040418,13
20040419,16
20040420,11
20040421,13
20040422,10
20040423,25
20040424,20
20040425,12
20040426,20
20040427,23
20040428,15
20040429,15
20040430,7
20040501,17
20040502,22
20040503,9
20040504,9
20040505,14
20040506,21
20040507,28
20040508,11
20040509,12
20040510,21
20040511,27
20040512,15
20040513,8
20040514,16
20040515,7
20040516,10
20040517,9
20040518,18
20040519,12
20040520,7
20040521,11
20040522,12
20040523,9
20040524,15
20040525,9
20040526,7
20040527,9
20040528,25
20040529,7
20040530,7
20040531,3
20040601,15
20040602,7
20040603,8
20040604,5
20040605,4
20040606,10
20040607,7
20040608,24
20040609,12
20040610,10
20040611,20
20040612,20
20040613,10
20040614,14
20040615,17
20040616,14
20040617,17
20040618,16
20040619,21
20040620,21
20040621,9
20040622,18
20040623,11
20040624,12
20040625,10
20040626,8
20040627,7
20040628,8
20040629,45
20040630,59
20040701,52
20040702,46
20040703,18
20040704,27
20040705,38
20040706,31
20040707,58
20040708,26
20040709,15
20040710,12
20040711,17
20040712,19
20040713,27
20040714,30
20040715,32
20040716,26
20040717,24
20040718,17
20040719,6
20040720,22
20040721,28
20040722,43
20040723,28
20040724,36
20040725,15
20040726,24
20040727,44
20040728,53
20040729,34
20040730,36
20040731,24
20040801,25
20040802,23
20040803,40
20040804,8
20040805,17
20040806,14
20040807,22
20040808,15
20040809,12
20040810,22
20040811,16
20040812,22
20040813,9
20040814,14
20040815,21
20040816,14
20040817,11
20040818,9
20040819,8
20040820,3
20040821,14
20040822,9
20040823,4
